store,websites,attribute_set,type,categories,sku,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,image_label,small_image_label,thumbnail_label,country_of_manufacture,status,visibility,tax_class_id,color,price,weight,description,short_description,meta_keyword,special_from_date,qty,is_in_stock,manage_stock,media_gallery,brand,age_range,bottle_volume,featured,aptamil_code,special_price,size,delivery_time,free_shipping
default,base,Default,simple,[Default Category]/家用小電器,wmf-standmixer-lineo,"德国WMF福腾宝 Lineo 搅拌机 1.5升,20000转/分钟,700瓦",德国WMF福腾宝Lineo料理机搅拌机- AUSGER「德藝緻」德國精品百貨,"欢迎前来AUSGER「德藝緻」德國精品百貨，选购德国WMF福腾宝Lineo料理机搅拌机,想了解详情WMF福腾宝料理机 搅拌机，请进入「德藝緻」德國精品百貨，任您选购。",/w/m/wmf-lineo-standmixer.png,/w/m/wmf-lineo-standmixer.png,/w/m/wmf-lineo-standmixer.png,wmf-standmixer-lineo,wmf-standmixer-lineo.html,,,,DE,Enabled,"Catalog, Search",None,,169.99,5,德國WMF福腾宝Lineo立式搅拌机	产品特点：1、五档速度设定：让您能准确的控制食材，脉冲电平，更加稳定；2、混合功能：只有连接正确才会开始启动，更加安全放心，手柄方便单手持拿，可实现单手操作；3、不锈钢刀片：高品质四片不锈钢刀片，经久耐用，不易粘物，清洗方便；4、高稳定性：底座带有防滑吸足，更加稳定不易倾倒。速度调节：无极变速，有5个档位，可根据实际情况调节您所需要的速度。材质：18、10不锈钢，产品功率：700W; 容量：1.6L。	1、五档速度设定：让您能准确的控制食材，脉冲电平，更加稳定；2、混合功能：只有连接正确才会开始启动，更加安全放心，手柄方便单手持拿，可实现单手操作；3、不锈钢刀片：高品质四片不锈钢刀片，经久耐用，不易粘物，清洗方便；4、高稳定性：底座带有防滑吸足，更加稳定不易倾倒。<img width='100%' src='https://img.alicdn.com/imgextra/i4/2553412486/TB2iZvxdFXXXXbuXXXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2sDzadFXXXXbBXpXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2Sb6vdFXXXXbcXXXXXXXXXXXX_!!2553412486.jpg'/><img width='100%' src='https://img.alicdn.com/imgextra/i2/2553412486/TB2C7DGdFXXXXXiXXXXXXXXXXXX_!!2553412486.jpg'/>,1、五档速度设定：让您能准确的控制食材，脉冲电平，更加稳定；2、混合功能：只有连接正确才会开始启动，更加安全放心，手柄方便单手持拿，可实现单手操作；3、不锈钢刀片：高品质四片不锈钢刀片，经久耐用，不易粘物，清洗方便；4、高稳定性：底座带有防滑吸足，更加稳定不易倾倒。,"德国WMF,福腾宝,Lineo,料理机,搅拌机",,10,1,1,/w/m/wmf-lineo-standmixer.png,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-kult-pro-sweetberry,"德国WMF福腾宝Kult Pro搅拌机 可以破冰，可以搅拌做果昔或者冰沙，也可以做辅食，1200瓦 1,8升","德国WMF福腾宝Kult Pro搅拌机, 可以破冰，可以搅拌做果昔或者冰沙，也可以做辅食 -「德藝緻」德國精品百貨",欢迎前来AUSGER「德藝緻」德國精品百貨，选购德国WMF福腾宝Kult Pro搅拌机，请进入「德藝緻」德國精品百貨，任您选购。,/w/m/wmf-sweetberry-standmixer.png,/w/m/wmf-sweetberry-standmixer.png,/w/m/wmf-sweetberry-standmixer.png,wmf-kult-pro-sweetberry,wmf-kult-pro-sweetberry.html,,,,DE,Enabled,"Catalog, Search",None,,189.99,5,产品特点：容量：1.8升；配件：高品质不锈钢4叶刀、方便提手和可拆卸的玻璃壶壶嘴；做冰沙，碎冰和搅拌；安全特性：混合功能，只有当连接的玻璃壶才会启动。高稳定性，底部有防滑垫；速度：无极变速，有16个档位，可根据实际情况调节您所需要的速度。最高转速：24000转/分钟 。电缆长度：1m。功率（瓦）：1200红色 / 1400银色。尺寸H / W / D（厘米）：21×42×19。外壳材料：18/10不锈钢。<img width='100%' src='https://img.alicdn.com/imgextra/i4/2553412486/TB2iZvxdFXXXXbuXXXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2sDzadFXXXXbBXpXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2Sb6vdFXXXXbcXXXXXXXXXXXX_!!2553412486.jpg'/><img width='100%' src='https://img.alicdn.com/imgextra/i2/2553412486/TB2C7DGdFXXXXXiXXXXXXXXXXXX_!!2553412486.jpg'/>,高品质不锈钢4叶刀、方便提手和可拆卸的玻璃壶壶嘴；做冰沙，碎冰和搅拌；安全特性：混合功能，只有当连接的玻璃壶才会启动。高稳定性，底部有防滑垫,"德國WMF福腾宝,Kult Pro,料理机,搅拌机,破冰，搅拌做果昔或者冰沙，辅食",,10,1,1,/w/m/wmf-sweetberry-standmixer.png,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-standmix-kult-x-mix-go,德國WMF福腾宝Mix&GO便携式果昔奶昔辅食料理搅拌机 0.6升 300瓦,德國WMF福腾宝Mix&GO便携式搅拌机 -「德藝緻」德國精品百貨,"欢迎前来AUSGER「德藝緻」德國精品百貨，选购德國WMF福腾宝Mix&GO便携式搅拌机,想了解详情WMF福腾宝料理机 搅拌机，请进入「德藝緻」德國精品百貨，任您选购。",/w/m/wmf-mix-go-standmixer.png,/w/m/wmf-mix-go-standmixer.png,/w/m/wmf-mix-go-standmixer.png,wmf-standmix-kult-x-mix-go,wmf-standmix-kult-x-mix-go.html,,,,DE,Enabled,"Catalog, Search",None,,49.99,2,产品特点：1. 高品质4翼不锈钢刀片，有破壁功能，可以在搅拌的同时保留住果蔬细胞中的维生素和营养物质，释放出更多的营养。2. 杯身附带便携盖子，搅拌完盖上盖子就是一个可以随身携带的杯子了。在出门前打一杯自己喜欢的果汁然后就可以带着出门了，非常方便。3. 可以直接碎冰块，不仅可以做果汁，还可以做沙冰，奶昔。4. 220V电源，双圆脚插头，跟国内大部分插头（圆孔即可）兼容。重量】1.6kg【容积】0.6L。【配件】搅拌器，杯体，杯盖。<img width='100%' src='https://img.alicdn.com/imgextra/i4/2553412486/TB2iZvxdFXXXXbuXXXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2sDzadFXXXXbBXpXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2Sb6vdFXXXXbcXXXXXXXXXXXX_!!2553412486.jpg'/><img width='100%' src='https://img.alicdn.com/imgextra/i2/2553412486/TB2C7DGdFXXXXXiXXXXXXXXXXXX_!!2553412486.jpg'/>,1. 高品质4翼不锈钢刀片，有破壁功能，可以在搅拌的同时保留住果蔬细胞中的维生素和营养物质，释放出更多的营养。2. 杯身附带便携盖子，搅拌完盖上盖子就是一个可以随身携带的杯子了。在出门前打一杯自己喜欢的果汁然后就可以带着出门了，非常方便。3. 可以直接碎冰块，不仅可以做果汁，还可以做沙冰，奶昔。4. 220V电源，双圆脚插头，跟国内大部分插头,"德國WMF,福腾宝,Mix&GO,便携式搅拌机",,10,1,1,/w/m/wmf-mix-go-standmixer.png,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-standmixer-coup-08L,德國WMF福腾宝Coup果昔奶昔辅食料理搅拌机 0.8升 400瓦 20000转/分钟,德國WMF福腾宝Coup果昔奶昔辅食料理搅拌机 0.8升 400瓦 20000转/分钟,"欢迎前来AUSGER「德藝緻」德國精品百貨，选购德國0.8升WMF福腾宝Coup果昔奶昔辅食料理搅拌机,想了解详情WMF福腾宝料理机 搅拌机，请进入「德藝緻」德國精品百貨，任您选购。，""产品特点：高品质6叶搅拌刀头；控制面板LED照明显示，晚上也可使用；高强度防滑角，放在台子上也不会打滑。档位：5档设置。功率：最大400W",/w/m/wmf-coup-standmixer.png,/w/m/wmf-coup-standmixer.png,/w/m/wmf-coup-standmixer.png,wmf-standmixer-coup-08l,wmf-standmixer-coup-08l.html,,,,DE,Enabled,"Catalog, Search",None,,99.99,3.1,<img width='100%' src='https://img.alicdn.com/imgextra/i4/2553412486/TB2iZvxdFXXXXbuXXXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2sDzadFXXXXbBXpXXXXXXXXXX_!!2553412486.jpg'/> <img width='100%' src='https://img.alicdn.com/imgextra/i1/2553412486/TB2Sb6vdFXXXXbcXXXXXXXXXXXX_!!2553412486.jpg'/><img width='100%' src='https://img.alicdn.com/imgextra/i2/2553412486/TB2C7DGdFXXXXXiXXXXXXXXXXXX_!!2553412486.jpg'/>  ,"容量：0.8L。""","德國WMF福腾宝Coup,果昔,奶昔,辅食料理,搅拌机,控制面板LED",,10,1,1,/w/m/wmf-coup-standmixer.png,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-lono-raclette,德国WMF符腾堡Lono室内烧烤炉|电烤炉|烧烤盘,德国WMF符腾堡Lono室内烧烤炉|电烤炉|烧烤盘,德国WMF符腾堡此款Lono室内烧烤炉|电烤炉|烧烤盘采用WMF 专利 18/10 Cromargan 不锈钢制成，适合烤鱼、烤蔬菜等烧烤爱好者，是一款理想安全的家庭、聚会烧烤工具。1500W 强大功率，畅享火热的极速烧烤；无级温控系统，LED背光的温度调节旋钮带来绝佳的使用效果。,/w/m/wmf-lono-raclette.jpg,/w/m/wmf-lono-raclette.jpg,/w/m/wmf-lono-raclette.jpg,wmf-lono-raclette,wmf-lono-raclette.html,,,,DE,Enabled,"Catalog, Search",None,,139.99,6,"作为烤炉界的全能健将，它集烧烤、电焗、煎饼多种功能于一身，配置可翻转双层加铝质不粘涂层烤盘，无需多油烹饪，更有别于市面上的单涂层铝质产品，即使长时间烹饪也不会与食物产生任何化学反应。不粘可逆的烧烤板或反面可以烤两个煎饼, 8不粘独立小烤盘及8把铲刀, 变温设定LED照明 1500瓦电源, 非常适合家庭聚会使用哦与传统碳烤炉相比，WMF的电焗烧烤炉无有害物质排放，不发热部件温度控制在60度以下，即使家中有熊孩子也不用再担心他们的安全问题！<img width='100%' src='http://ecx.images-amazon.com/images/I/81uzB%2B72bzL._SL1500_.jpg'/> <img width='100%' src='http://ecx.images-amazon.com/images/I/71yeLC1RMaL._SL1500_.jpg'/> <img width='100%' src='http://ecx.images-amazon.com/images/I/71r1kHESXoL._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/71h-Zj-FFBL._SL1500_.jpg'/>",WMF 此款 Lono 电烤架采用WMF 专利 18/10 Cromargan 不锈钢制成，适合烤鱼、烤蔬菜等烧烤爱好者，是一款理想安全的家庭、聚会烧烤工具。1500W 强大功率，畅享火热的极速烧烤；无级温控系统，LED背光的温度调节旋钮带来绝佳的使用效果。,"德国WMF,符腾堡,Lono室内烧烤炉,电烤炉,烧烤盘",,10,1,1,/w/m/wmf-lono-raclette.jpg,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-lono-tischgrill-flach-gerippt,德国WMF福腾宝Lono不锈钢家用室内烧烤炉电烤炉带烤盘,德国WMF福腾宝Lono不锈钢家用室内烧烤炉电烤炉带烤盘,德国WMF福腾宝此款Lono不锈钢家用室内烧烤炉电烤炉带烤盘采用WMF 专利 18/10 Cromargan不锈钢制成，烤架设计成 1/3烤盘面积以及2/3烤网面积，适合烤鱼、烤蔬菜等烧烤爱好者，是一款理想安全的家庭、聚会烧烤工具。,/w/m/wmf-lono-tischgrill-flach-gerippt.jpg,/w/m/wmf-lono-tischgrill-flach-gerippt.jpg,/w/m/wmf-lono-tischgrill-flach-gerippt.jpg,wmf-lono-tischgrill-flach-gerippt,wmf-lono-tischgrill-flach-gerippt.html,,,,DE,Enabled,"Catalog, Search",None,,119.99,7,"此款Lono电烤架采用WMF 专利 18/10 Cromargan不锈钢制成，烤架设计成 1/3烤盘面积以及2/3烤网面积，适合烤鱼、烤蔬菜等烧烤爱好者, 轻松两步即可实现低脂烹饪，同上一款电焗烧烤炉一样，这款台式电烧烤炉可以达到220度恒定高温，保证鲜嫩多汁的 完美烹饪效果。防粘双层涂层无需多油烹饪，内置油盘还可通过漏油槽引流盛放烹饪时产生的多余油分。健康的无油烟设计，即使在空气闭塞的空间使用也毫无压力！LED背光的温度调节旋钮带来绝佳的使用效果。",WMF 此款Lono电烤架采用WMF 专利 18/10 Cromargan不锈钢制成，烤架设计成 1/3烤盘面积以及2/3烤网面积，适合烤鱼、烤蔬菜等烧烤爱好者，是一款理想安全的家庭、聚会烧烤工具。2300W 强大功率，畅享火热的极速烧烤；无级温控系统，LED背光的温度调节旋钮带来绝佳的使用效果。,德国WMF福腾宝 不锈钢家用室内烧烤炉 电烤炉带烤盘,,10,1,1,/w/m/wmf-lono-tischgrill-flach-gerippt.jpg,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-kuechenminis-salat-to-go,德国WMF福腾宝多功能电动切菜器,德国WMF福腾宝多功能电动切菜器,德国WMF符腾堡多功能电动切菜器的诞生完美解决了切菜难这一问题，5种不同的配件和接口可以轻松处理水果、蔬菜、坚果、奶酪等多种不同类型食材。配件安装非常便捷，无论是切片还是切丝，食材厚薄都可随心选择。※配备独特的随行色拉饭盒，贴心的WMF更在设计中融入了酱料储备盒，有了它再也不用担心吃到被酱料浸烂的色拉了！,/w/m/wmf-kuechenminis-salat-to-go.jpg,/w/m/wmf-kuechenminis-salat-to-go.jpg,/w/m/wmf-kuechenminis-salat-to-go.jpg,wmf-kuechenminis-salat-to-go,wmf-kuechenminis-salat-to-go.html,,,,DE,Enabled,"Catalog, Search",None,,89.9,2,"WMF多功能电动切菜器的诞生完美解决了切菜难这一问题，5种不同的配件和接口可以轻松处理水果、蔬菜、坚果、奶酪等多种不同类型食材。配件安装非常便捷，无论是切片还是切丝，食材厚薄都可随心选择。※配备独特的随行色拉饭盒，贴心的WMF更在设计中融入了酱料储备盒，有了它再也不用担心吃到被酱料浸烂的色拉了！<img src=http://ecx.images-amazon.com/images/I/71R7RnGOz2L._SL1500_.jpg""/><img width='100%' src='http://ecx.images-amazon.com/images/I/81mRO1VP9vL._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/71h63bO-eML._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/81GXvXYm08L._SL1500_.jpg'/>""",WMF多功能电动切菜器的诞生完美解决了切菜难这一问题，5种不同的配件和接口可以轻松处理水果、蔬菜、坚果、奶酪等多种不同类型食材。配件安装非常便捷，无论是切片还是切丝，食材厚薄都可随心选择。※配备独特的随行色拉饭盒，贴心的WMF更在设计中融入了酱料储备盒，有了它再也不用担心吃到被酱料浸烂的色拉了！,"WMF多功能电动切菜器,德国家用小电器",,10,1,1,/w/m/wmf-kuechenminis-salat-to-go.jpg,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-kuechenminis-dampfgarer,德国WMF福腾宝智巧电蒸炉,德国WMF福腾宝智巧电蒸炉,单身汪和小家庭必备烹饪神器。比起市场上传统电蒸炉的庞大体型，德国WMF符腾堡智巧电蒸炉体积小巧，功能强大，大大提高了电蒸炉使用频率。上下双层烹饪空间配备独立接水槽，防食物串味。不同食材可调不同烹饪温度，WMF智能烹饪程序，做到不同烹饪时长的食物能同时结束烹饪，防止食物变凉。配备随行饭盒，米饭随蒸随走，工作日午餐再也不用吃隔夜饭了！,/w/m/wmf-kuechenminis-dampfgarer.jpg,/w/m/wmf-kuechenminis-dampfgarer.jpg,/w/m/wmf-kuechenminis-dampfgarer.jpg,wmf-kuechenminis-dampfgarer,wmf-kuechenminis-dampfgarer.html,,,,DE,Enabled,"Catalog, Search",None,,139.5,3.9,单身汪和小家庭必备烹饪神器。比起市场上传统电蒸炉的庞大体型，WMF智巧电蒸炉体积小巧，功能强大，大大提高了电蒸炉使用频率。上下双层烹饪空间配备独立接水槽，防食物串味。不同食材可调不同烹饪温度，WMF智能烹饪程序，做到不同烹饪时长的食物能同时结束烹饪，防止食物变凉。※  配备随行饭盒，米饭随蒸随走，工作日午餐再也不用吃隔夜饭了！<img width='100%' src='http://ecx.images-amazon.com/images/I/71rLT7AwbBL._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/815BEXF5R4L._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/71ItZ9ip7NL._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/81eiLmRlwQL._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/71TTr5NX9ML._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/81Rv8HVh-%2BL._SL1500_.jpg'/>,单身汪和小家庭必备烹饪神器。比起市场上传统电蒸炉的庞大体型，WMF智巧电蒸炉体积小巧，功能强大，大大提高了电蒸炉使用频率。上下双层烹饪空间配备独立接水槽，防食物串味。不同食材可调不同烹饪温度，WMF智能烹饪程序，做到不同烹饪时长的食物能同时结束烹饪，防止食物变凉。配备随行饭盒，米饭随蒸随走，工作日午餐再也不用吃隔夜饭了！,"WMF智巧电蒸炉,德国家用小电器",,10,1,1,/w/m/wmf-kuechenminis-dampfgarer.jpg,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-skyline-wasserkocher-16L,德国WMF福腾宝温控电热水壶,德国WMF福腾宝温控电热水壶,德国WMF福腾宝温控电热水壶采用Cromargan®18/10专利不锈钢材质，并具有5种温度设定及保温功能的WMF温控电热水壶堪称烧水壶爱马仕。外部可视刻度设计，可以清楚地控制水量；水壶内可拆卸清洗的过滤网能够过滤水垢等沉淀物，保证饮用水的安全。※每台电热水壶都配备安全保护设计，防干烧、过热保护、自动断电和壶盖关闭设置，确保使用安全,/w/m/wmf-skyline-wasserkocher.jpg,/w/m/wmf-skyline-wasserkocher.jpg,/w/m/wmf-skyline-wasserkocher.jpg,wmf-skyline-wasserkocher,wmf-skyline-wasserkocher.html,,,,DE,Enabled,"Catalog, Search",None,,64.99,2.2,采用Cromargan®18/10专利不锈钢材质，并具有5种温度设定及保温功能的WMF温控电热水壶堪称烧水壶爱马仕。外部可视刻度设计，可以清楚地控制水量；水壶内可拆卸清洗的过滤网能够过滤水垢等沉淀物，保证饮用水的安全。※每台电热水壶都配备安全保护设计，防干烧、过热保护、自动断电和壶盖关闭设置，确保使用安全。<img width='100%' src='http://ecx.images-amazon.com/images/I/71wrFKEDr0L._SL1500_.jpg'/><img width='100%' src='http://ecx.images-amazon.com/images/I/41-D2MwNCAL.jpg'/>,采用Cromargan®18/10专利不锈钢材质，并具有5种温度设定及保温功能的WMF温控电热水壶堪称烧水壶爱马仕。外部可视刻度设计，可以清楚地控制水量；水壶内可拆卸清洗的过滤网能够过滤水垢等沉淀物，保证饮用水的安全。※每台电热水壶都配备安全保护设计，防干烧、过热保护、自动断电和壶盖关闭设置，确保使用安全,"WMF温控电热水壶,德国家用小电器",,10,1,1,/w/m/wmf-skyline-wasserkocher.jpg,WMF,,,No,,,,6 - 7,
default,base,Default,simple,[Default Category]/家用小電器,wmf-einsatzsteg-18cm-0792796100,德国WMF福腾宝蒸用三脚支架 18cm,德国WMF福腾宝蒸用三脚支架18cm - AUSGER「德藝緻」德國精品百貨,德国WMF福腾宝蒸用三脚支架18cm – 请进入AUSGER「德藝緻」德國精品百貨，任您选购。,/w/m/wmf-einsatzsteg-18cm-2001.jpg,/w/m/wmf-einsatzsteg-18cm-2001.jpg,/w/m/wmf-einsatzsteg-18cm-2001.jpg,einsatzsteg-18cm,einsatzsteg-18cm.html,,,,DE,Enabled,"Catalog, Search",None,,4.95,0.5,"<div class=""std"">
        <h1>WMF 蒸用三脚支架 18cm</h1><br>尺寸: 18cm<br>WMF原装 适用于所有18cm口径以上的高压锅和汤锅炖锅<br>18/10不锈钢，食用安全放心。    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,WMF 蒸用三脚支架 18cm                     ,,10,1,1,/w/m/wmf-einsatzsteg-18cm-2001.jpg,WMF,,,No,,,,6 - 7,
